id,row_index,col_index,gravity_min,gravity_max,gravity_mean,freeair_min,freeair_max,freeair_mean,bouguer_min,bouguer_max,bouguer_mean,geo_nm_unidade,geo_letra_simb
10229.0,28.0,102.0,977916.863540876,978792.3215490815,978393.1288720235,-35.44795492482196,3.348603546668201,-17.12719562015128,-53.76543935880407,-21.65011716979374,-35.34977587276603,Ribeirão da Folha|Barreiras|Depósitos de Pântanos e Mangues Holocênicos|Chapada Acauã|Itapetinga|Depósitos de Planície Lagunar|Granito Fazenda Agua Branca|Corpo d'água continental,NP2rf|NQb|Q2m|NP1NP2ch|NAPP2i|Q1Q2pla|C-(G)4abr
10228.0,27.0,102.0,977804.1199674502,978620.6180800223,978193.7694242325,-33.73669830002332,12.508852142113273,-15.148383325407035,-49.07925254340848,-21.201816395861954,-35.537942620900075,Itapetinga|Corpo d'água continental|Granito Fazenda Agua Branca|Barreiras|Água Preta|Granito Salto da Divisa-Itagimirim|Santa Maria Eterna,NAPP2i|C-(G)4abr|NQb|NP1NP2pa|NP1(G)s|NP1NP2pe
10231.0,30.0,102.0,978110.3063889175,978732.3140836322,978402.858122164,-31.124714083640757,-3.1077336866547327,-17.30350667937559,-43.6946584002195,-16.873546934277538,-29.65925239612348,Barreiras|Jequitinhonha|Depósitos Aluvionares Holocênicos|Granito Santa Maria do Salto|Ribeirão da Folha|Depósitos de Pântanos e Mangues Holocênicos|Itapetinga,NQb|NP2jq|Q2a|NP3(G)3Ssm|NP2rf|Q2m|NAPP2i
10230.0,29.0,102.0,977934.2522919069,978714.0622530425,978388.3473853329,-35.44795492482196,-1.0898367400000843,-17.050872206105424,-53.76543935880407,-16.873546934277538,-33.78716275594592,Depósitos de Pântanos e Mangues Holocênicos|Barreiras|Ribeirão da Folha|Itapetinga|Chapada Acauã,Q2m|NQb|NP2rf|NAPP2i|NP1NP2ch
10233.0,32.0,102.0,977910.4146193626,978663.8122407955,978373.7950167895,-42.29619716287253,9.672246541703984,-19.70073750267544,-49.50366722702056,-19.592416067895385,-31.453265082623382,Barreiras|Jequitinhonha,NQb|NP2jq
10232.0,31.0,102.0,977917.1869365476,978720.162193644,978406.7645488547,-42.29619716287253,-0.4363303935767924,-18.553368936296504,-49.50366722702056,-16.380207632565323,-30.197317360450356,Barreiras|Jequitinhonha|Depósitos de Pântanos e Mangues Holocênicos,NQb|NP2jq|Q2m
10235.0,34.0,102.0,978085.470487317,978794.069883869,978440.6928017951,-32.18295079602908,6.83556314903695,-18.801659979250424,-39.51348435151375,-9.420641019255513,-24.502812580491742,Barreiras|Depósitos Aluvionares Holocênicos,NQb|Q2a
10234.0,33.0,102.0,978085.470487317,978796.5037293595,978429.0464424504,-32.18295079602908,6.83556314903695,-17.284664281497452,-39.18436616059911,-8.227519444961423,-25.7176647401984,Depósitos Aluvionares Holocênicos|Barreiras|Jequitinhonha,Q2a|NQb|NP2jq
10237.0,36.0,102.0,978478.0311919386,979015.1114814824,978834.4552397889,-10.725132167887622,22.922318758182158,8.221527996585454,-13.099043515009896,16.708590665145195,5.533921315701064,Barreiras|Depósitos de Planície Lagunar|Corpo d'água continental|Depósitos de Pântanos e Mangues Holocênicos|Depósitos Litorâneos Pleistocênicos,NQb|Q1Q2pla|Q2m|Q1li
10236.0,35.0,102.0,978140.1644183937,978909.2310285731,978595.3718915595,-29.53753776700838,24.88841769803684,-3.161421714157273,-34.42613156568263,18.652436208739616,-7.383808994642715,Barreiras|Depósitos Litorâneos Pleistocênicos|Depósitos Aluvionares Holocênicos|Corpo d'água continental,NQb|Q1li|Q2a
10239.0,38.0,102.0,978386.0264837685,978744.7994196719,978578.5406488051,-15.418505333439548,-1.4754201433429799,-7.401641573048944,-17.173755686742297,-2.0152840094551934,-8.6267181416779,,
10238.0,37.0,102.0,978304.0517017323,978996.1635497375,978739.2850471841,-18.246698076320072,8.847144819979768,-0.3123690986949004,-20.68764416851169,8.302645059137781,-1.623635282733305,Depósitos Litorâneos Pleistocênicos|Barreiras|Depósitos de Planície Lagunar|Depósitos de Pântanos e Mangues Holocênicos|Corpo d'água continental|Depósitos Aluvionares Holocênicos,Q1li|NQb|Q1Q2pla|Q2m|Q2a
10113.0,12.0,101.0,978009.0745741349,978535.3120294652,978188.3110192663,-26.619399266809957,44.13906991200647,-7.5655885596067005,-61.363368120912355,-42.47933040372513,-53.7159532249556,Jequié - Fácies c2|Cobertura Detrito-Laterítica Neo-Pleistocênica|Jequié - Fácies g,MANAj-c2|Q1dln|MANAj-g
10115.0,14.0,101.0,977889.464193181,978446.8755710458,978236.86001352,-32.705047117774505,30.761676237590464,0.1285067102921395,-67.40856886666501,-39.429657366131224,-52.090976062165325,Jequié - Fácies g|Jequié - Fácies c2|Granitóide Domo de Brejões|Gabro Anortosítico Rio Piau,MANAj-g|MANAj-c2|PP2(G)2db|PP3(D)p
10114.0,13.0,101.0,978021.7834034389,978459.6280261735,978241.0216949602,-34.85453793259488,41.52183746700616,-1.9193808788061704,-64.65409032735381,-30.376710614731316,-48.497621765467976,Jequié - Fácies g|Jequié - Fácies c2|Granitóide Domo de Brejões,MANAj-g|MANAj-c2|PP2(G)2db
10117.0,16.0,101.0,978099.6592983645,978586.7736992702,978308.5948939285,-41.39405476121086,46.423670096032104,-5.0161661762619305,-64.54095462059809,-6.737658940881737,-36.85612064307059,Ibicuí-Ipiaú|Máficos e Ultramáficos Indiferenciados|Ibicaraí - Fácies 1,MANAii|NAPP4(M)|MAPP2i-1
10116.0,15.0,101.0,978115.788428863,978566.7327863872,978329.2667940098,-41.39405476121086,24.444016087232768,-20.048103011766084,-66.61110767221857,-27.119344685469056,-52.036272129792344,Ibicuí-Ipiaú|Granitóide Itagibá-Teolândia|Jequié - Fácies c2,MANAii|PP2(G)2t|MANAj-c2
10119.0,18.0,101.0,978034.4995802685,978664.4158372331,978404.2516782085,-20.787637157954535,46.87479417257744,9.760185460290563,-35.42547619130938,6.5605564807067225,-8.987631184337916,Ibicaraí - Fácies 2|Almadina|Ibicaraí - Fácies 3|Depósitos Aluvionares Holocênicos|Ibicaraí - Fácies 1|Corpo d'água continental,MAPP2i-2|MAal|MAPP2i-3|Q2a|MAPP2i-1
10118.0,17.0,101.0,978129.6034046215,978515.9391732954,978334.6073093204,-14.702949510723638,46.260816083499726,8.730929977589,-40.01388833507381,-2.2806727081932223,-18.82343196863091,Ibicuí-Ipiaú|Ibicaraí - Fácies 2|Ibicaraí - Fácies 3|Máficos e Ultramáficos Indiferenciados|Ibicaraí - Fácies 1,MANAii|MAPP2i-2|MAPP2i-3|NAPP4(M)|MAPP2i-1
10121.0,20.0,101.0,977929.7173578751,978566.2416813946,978295.3683919911,-22.395200044815404,41.78611976560337,4.411098892385588,-59.23032227392913,-9.130513303483418,-30.287021796262508,Ibicaraí - Fácies 3|Almadina|Ibicaraí - Fácies 2|Granitóide Ibirapitanga/Ubaitaba|Ibicaraí - Fácies 1,MAPP2i-3|MAal|MAPP2i-2|PP1PP2(G)iu|MAPP2i-1
10120.0,19.0,101.0,978048.1983183115,978647.2844474356,978374.2624223043,-10.842996331595543,45.9770804475837,12.539244763713658,-29.652296769434002,4.0270123717308195,-11.24136630520091,Ibicaraí - Fácies 2|Almadina|Ibicaraí - Fácies 3|Ibicaraí - Fácies 1|Granitóide Ibirapitanga/Ubaitaba,MAPP2i-2|MAal|MAPP2i-3|MAPP2i-1|PP1PP2(G)iu
10123.0,22.0,101.0,978116.4859392601,978752.1184740429,978394.1600132415,-47.807210623233686,10.61436925855753,-31.634861712191604,-70.27310179686532,-28.694299717984386,-49.88311362890326,Ibicaraí|Granitóide Pau-Brasil|Almadina|Granitóide Ibirapitanga/Ubaitaba|Ibicaraí - Fácies 3|Itabuna-Floresta Azul|Ibicaraí - Fácies 1,MAPP2i|PP2(G)2pb|MAal|PP1PP2(G)iu|MAPP2i-3|NP2(L)i|MAPP2i-1
10122.0,21.0,101.0,978166.9492953916,978734.8791656359,978431.3464821386,-41.87991243977019,44.09624665412033,-9.565781524150147,-60.946724869951474,-20.076207485616607,-40.769517743450876,Almadina|Ibicaraí - Fácies 3|Itabuna-Floresta Azul|Ibicaraí - Fácies 1|Ibicaraí - Fácies 2|Granitóide Ibirapitanga/Ubaitaba,MAal|MAPP2i-3|NP2(L)i|MAPP2i-1|MAPP2i-2|PP1PP2(G)iu
10125.0,24.0,101.0,978132.725723005,978692.7745188877,978398.8009654826,-19.141209363434513,58.43307183163404,7.925491960237936,-58.440214195313224,-9.032670880234356,-28.008181978180797,Água Preta|Serra do Paraíso|Salobro|Panelinha|Camacã|Ibicaraí|Sienitos Santanópolis - São Félix - Anuri|Granitóide Ibirapitanga/Ubaitaba|Granitóide Pau-Brasil|Buerarema,NP1NP2pa|NP1NP2pr|C-Osa|NP1NP2pn|NP1NP2pc|MAPP2i|PP2(L)s|PP1PP2(G)iu|PP2(G)2pb|PP2be
10124.0,23.0,101.0,978116.4859392601,978704.7972467479,978355.8995115198,-39.91672493287166,59.645491746558804,0.44076637177180666,-63.42815947480111,-11.85793305081063,-40.57422572455042,Ibicaraí|Sienitos Santanópolis - São Félix - Anuri|Granitóide Ibirapitanga/Ubaitaba|Granitóide Pau-Brasil|Máficos e Ultramáficos Indiferenciados|Buerarema,MAPP2i|PP2(L)s|PP1PP2(G)iu|PP2(G)2pb|NAPP4(M)|PP2be
10127.0,26.0,101.0,977804.1199674502,978710.0894799061,978317.4916146687,-31.55379389666728,33.272110319012654,0.560913238469428,-47.8716813321097,-7.128831390409616,-26.83780753553202,Granito Salto da Divisa-Itagimirim|Itapetinga|Santa Maria Eterna|Barreiras|Água Preta|Serra do Paraíso|Ibicaraí,NP1(G)s|NAPP2i|NP1NP2pe|NQb|NP1NP2pa|NP1NP2pr|MAPP2i
